vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,bô pòaⁿ ê lâng,bô7 pòaⁿ2 ê7 lâng,無半个人,not a single person.
1,Kin-á-ji̍t bô pòaⁿ ê boeh khì.,Kin7-á1-ji̍t bô7 pòaⁿ2 ê7 boeh2 khì.,今仔日無半个欲去.,Nobody will go today.
2,Cha-hng goán thài-thài ū lâi chia bô·?,Cha7-hng goán1 thài2-thài ū3 lâi7 chia bô·3?,昨昏阮太太有來遮無?,Did my wife come here yesterday?
3,In tiāⁿ-tiāⁿ lâi chia chhit-thô.,In7 tiāⁿ3-tiāⁿ3 lâi7 chia chhit2-thô.,𪜶定定來遮𨑨迌.,They always come here to have fun.
4,Khòaⁿ chi̍t chhut tiān-iáⁿ ài lōa-chē?,Khòaⁿ2 chi̍t3 chhut2 tiān3-iáⁿ ài2 lōa3-chē?,看一齣電影愛偌濟?,How much does it cost to see a movie?
5,chhut-lâi,chhut-lâi,出來,come out.
5,chhut-khì,chhut-khì,出去,go out.
5,"Chhiáⁿ lí chhiáⁿ Khó· Sian-siⁿ chhut-lâi, hó bô·?","Chhiáⁿ1 lí1 chhiáⁿ1 Khó· Sian3-siⁿ3 chhut-lâi, hó bô·3?","請你請許先生出來, 好無?","Please ask Mr. Khó· to come out, will you?"
5,"Khó· Sian-siⁿ, Tēⁿ Sian-siⁿ chhiáⁿ lí chhut-khì.","Khó· Sian3-siⁿ3, Tēⁿ Sian3-siⁿ3 chhiáⁿ1 lí1 chhut-khì.","許先生, 鄭先生請你出去.","Mr. Khó·, Mr. Tēⁿ asks you to go outside."
5,I chhut-khì bé mi̍h-kiāⁿ.,I7 chhut2-khì2 bé1 mi̍h3-kiāⁿ.,伊出去買物件.,He went out to buy something.
6,I chím-á teh tha̍k-chheh.,I7 chím1-á teh2 tha̍k3-chheh.,伊這馬咧讀冊.,He's studying now.
6,Góa m̄-sī taⁿ boeh khì.,Góa1 m̄3-sī3 taⁿ boeh2 khì.,我毋是今欲去.,I'm not going now.
7,ē pháiⁿ,ē3 pháiⁿ,會歹,to be bad.
7,bē pháiⁿ,bē3 pháiⁿ,袂歹,be not bad.
7,bē sím-mih pháiⁿ,bē3 sím1-mih2 pháiⁿ,袂啥物歹,be not very bad.
8,Lí khòaⁿ?,Lí1 khòaⁿ?,你看?,What do you think?
8,Lín khòaⁿ?,Lín1 khòaⁿ?,恁看?,What do you think? (plural)
8,Goán khòaⁿ.,Goán1 khòaⁿ.,阮看.,We think/it seems to us.
8,"Góa khòaⁿ, i sī chi̍t ê hó-lâng.","Góa1 khòaⁿ, i7 sī3 chi̍t3 ê7 hó1-lâng.","我看, 伊是一个好人.",I think he's a good man.
8,"Lí khòaⁿ, i chhēng ê saⁿ ū hó-khòaⁿ bô·?","Lí1 khòaⁿ, i7 chhēng3 ê7 saⁿ ū3 hó1-khòaⁿ bô·3?","你看, 伊穿的衫有好看無?","Is her dress nice-looking? What do you think?"
