vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Lí ū kúi ê a-ché?,Lí1 ū3 kúi1 ê7 a7-ché?,你有幾个阿姊?,How many older sisters do you have?
1,Kan-ná chi̍t ê niā-niā.,Kan7-ná chi̍t3 ê7 niā3-niā.,干焦一个爾爾.,Only one.
1,Góan tōa-ché chím-á teh tòa kang-tiûⁿ.,Góan1 tōa3-ché chím1-á teh2 tòa2 kang7-tiûⁿ.,阮大姊這馬咧蹛工場.,My oldest sister is working in a factory now.
3,"Góa the̍h chi̍t-pah kho· hō· lí, lí iáu-bōe chāu góa.","Góa1 the̍h3 chi̍t3-pah2 kho· hō·3 lí, lí1 iáu1-bōe3 chāu góa7.","我提一百箍予你, 你猶未找我.","I gave you $100, you haven't given me the change yet."
3,"Nn̄g kho· niā-niā, m̄-bián chāu là.","Nn̄g3 kho· niā3-niā, m̄3-bián1 chāu là.","兩箍爾爾, 毋免找啦.",The change is only $2; don't bother giving it.
4,Lí ê chhiú ū chheng-khì bô·?,Lí1 ê7 chhiú ū3 chheng7-khì bô·3?,你的手有清氣無?,Are your hands clean?
4,"Hiah lah-sap, khì sé hō· chheng-khì.","Hiah2 lah-sap, khì2 sé1 hō·3 chheng7-khì.","遐垃圾, 去洗予清氣.",They're so dirty; go wash them clean.
5,"Chhī-lāi khah chhá, chhī-gōa khah tiām.","Chhī3-lāi khah2 chhá, chhī3-gōa khah2 tiām.","市內較吵, 市外較恬.",The city is noisy; outside the city it's quieter.
5,Che sī tī chhī-lāi bé-ê.,Che sī3 tī3 chhī3-lāi bé-ê3.,這是佇市內買的.,This was bought downtown.
9,Lín ài chhī niau-á bô·?,Lín1 ài2 chhī3 niau7-á bô·3?,恁愛飼貓仔無?,Do you want a cat? (Lit. Do you want to feed a cat?)
9,"I ka-tī bē-hiáu chia̍h, tio̍h-ài lâng chhī.","I7 ka7-tī3 bē3-hiáu1 chia̍h, tio̍h3-ài2 lâng7 chhī.","伊家己袂曉食, 著愛人飼.","He can't feed himself, he has to have someone feed him."
10,Toh-téng chhit hō· chheng-khì.,Toh2-téng chhit2 hō·3 chheng7-khì.,桌頂拭予清氣.,Wipe off the table until it's clean.
10,Iōng bīn-kin chhit.,Iōng3 bīn3-kin chhit.,用面巾拭.,Wipe it with a face towel.
11,Lín ū kúi ê chí-mōe?,Lín1 ū3 kúi1 ê7 chí1-mōe?,恁有幾个姊妹?,How many sisters are there in your family?
11,"Góan ū saⁿ ê chí-mōe; chi̍t ê a-ché, chi̍t ê sió-mōe.","Góan1 ū3 saⁿ7 ê7 chí1-mōe; chi̍t3 ê7 a7-ché, chi̍t3 ê7 sió1-mōe.","阮有三个姊妹; 一个阿姊, 一个小妹.",There are 3 of us sisters; one older and one younger. (Female speaker.)
11,"Góa ū nn̄g ê chí-mōe: chi̍t ê a-ché, chi̍t ê sió-mōe.","Góa1 ū3 nn̄g3 ê7 chí1-mōe: chi̍t3 ê7 a7-ché, chi̍t3 ê7 sió1-mōe.","我有兩个姊妹: 一个阿姊, 一个小妹.",I have 2 sisters: one older and one younger. (Male speaker.)
12,Lí ài iōng chiàⁿ-chhiú siá-jī.,Lí1 ài2 iōng3 chiàⁿ2-chhiú siá1-jī.,你愛用正手寫字.,You must write with your right hand.
12,"Tùi chia khì, oat chiàⁿ-pêng.","Tùi2 chia khì, oat2 chiàⁿ2-pêng.","對遮去, 斡正爿.",Go through here and turn right.
15,Hit chiah niau-á m̄-sī góan chhī-ê.,Hit2 chiah2 niau7-á m̄3-sī3 góan1 chhī-ê7.,彼隻貓仔毋是阮飼的.,That cat is not ours.
16,Ū hāi-khì bô·?,Ū3 hāi3-khì bô·3?,有害去無?,Is it out of order / spoiled?
16,Góan kiáⁿ chin hāi; i lóng bô ài the̍h chîⁿ tńg-lâi hō· góa iōng.,Góan1 kiáⁿ chin7 hāi; i7 lóng1 bô7 ài2 the̍h3 chîⁿ tńg1-lâi7 hō·3 góa1 iōng.,阮囝真害; 伊攏無愛提錢轉來予我用.,My son is no good; he never wants to bring any money home for me to use.
16,"Siu-im-ki hāi-khì a, bē-ēng-tit thiaⁿ.","Siu7-im7-ki hāi3-khì a3, bē3-ēng3-tit2 thiaⁿ.","收音機害去矣, 袂用得聽.",The radio is out of order; you can't hear anything on it.
18,Chit hāng tāi-chì chin hùi-khì.,Chit2 hāng3 tāi3-chì chin7 hùi2-khì.,這項代誌真費氣.,This matter is a lot of trouble.
19,Lí káⁿ lim chiú bô·?,Lí1 káⁿ1 lim7 chiú bô·3?,你敢啉酒無?,Do you dare to drink liquor?
19,Góa m̄-káⁿ kah i kóng-ōe.,Góa1 m̄3-káⁿ1 kah2 i7 kóng1-ōe.,我毋敢佮伊講話.,I don't dare talk with him.
20,"Góa kā lín kài-siāu; chit ūi sī góan Lāu-su; chit ūi sī Chan Sian-siⁿ.","Góa1 kā3 lín1 kài2-siāu; chit2 ūi sī3 góan1 Lāu3-su; chit2 ūi sī3 Chan Sian3-siⁿ3.","我共恁介紹; 這位是阮老師; 這位是曾先生.",Let me introduce you; this is my teacher; this is Mr. Chan.
20,Kài-siāu cha-bó·-pêng-iú.,Kài2-siāu cha7-bó·1-pêng7-iú.,介紹查某朋友.,To introduce a girl to a boy to be his friend (with marriage in view).
20,"Lí ê o·-thó·-bái góa kā lí kài-siāu lâng lâi bé, hó bô·?","Lí1 ê7 o·7-thó·1-bái góa1 kā3 lí1 kài2-siāu3 lâng7 lâi7 bé, hó bô·3?","你的烏托拜我共你介紹人來買, 好無?","I'll introduce someone to you who might buy your motorcycle, OK?"
21,"Nā ē-hiáu, lóng chin kán-tan.","Nā3 ē3-hiáu, lóng1 chin7 kán1-tan.","若會曉, 攏真簡單.",It's always very simple if you know how.
21,Tâi-gí boeh o̍h kah chin gâu bô kán-tan.,Tâi7-gí boeh2 o̍h3 kah2 chin7 gâu bô7 kán1-tan.,台語欲學甲真𠢕無簡單.,It's not a simple matter to get very good in Taiwanese.
22,Nā ū jīn-chin chò chin khoài.,Nā3 ū3 jīn3-chin7 chò2 chin7 khoài.,若有認真做真快.,If you do it diligently it's fast.
22,Tâi-gí khoài o̍h bô·?,Tâi7-gí khoài2 o̍h bô·3?,台語快學無?,Is Taiwanese easy to learn?
23,Lí ē kiaⁿ bē?,Lí1 ē3 kiaⁿ bē3?,你會驚袂?,Are you afraid?
23,"Góa tī chia, lí m̄-bián kiaⁿ.","Góa1 tī3 chia, lí1 m̄3-bián1 kiaⁿ.","我佇遮, 你毋免驚.","I'm here, no need to be afraid."
30,"Gín-á nā koai, lâng chiū ē thiàⁿ.","Gín1-á nā3 koai, lâng7 chiū3 ē3 thiàⁿ.","囡仔若乖, 人就會疼.",If a child is well-behaved people will love him.
30,Hit chiah niau-á chin koai.,Hit2 chiah2 niau7-á chin7 koai.,彼隻貓仔真乖.,That cat is well-behaved.
31,Lí ê chhiú ū lah-sap bô·?,Lí1 ê7 chhiú ū3 lah2-sap bô·3?,你的手有垃圾無?,Are your hands dirty?
31,Chhù nā bô lâng tòa chin khoài lah-sap.,Chhù nā3 bô7 lâng7 tòa2 chin7 khoài2 lah2-sap.,厝若無人蹛真快垃圾.,A house that's not lived in gets dirty very fast.
32,"Góa mâ-hôan lí kā góa chò, hó bô·?","Góa1 mâ7-hôan7 lí1 kā3 góa1 chò, hó bô·3?","我麻煩你共我做, 好無?",May I trouble you to do this for me?
32,"Tiāⁿ-tiāⁿ kā lí mâ-hôan, chin pháiⁿ-sè.","Tiāⁿ3-tiāⁿ3 kā3 lí1 mâ7-hôan, chin7 pháiⁿ1-sè.","定定共你麻煩, 真歹勢.",I'm always troubling you; this is unpardonable.
33,"Lí ê thâu-mo· hiah tn̂g, iáu-bōe boeh thì, sī bô·?","Lí1 ê7 thâu7-mo· hiah tn̂g, iáu1-bōe3 boeh2 thì, sī bô·3?","你的頭毛遐長, 猶未欲剃, 是無?","Your hair is so long and you're not getting it cut yet, is that right?"
33,"Chit niá saⁿ sī mô·-ê, só·-í khah kùi.","Chit2 niá1 saⁿ sī3 mô·-ê7, só·1-í1 khah2 kùi.","這領衫是毛的, 所以較貴.",This garment is wool so it's more expensive.
36,Lín chhù ū niau-á bô·? Lín ài chhī bô·?,Lín1 chhù ū3 niau7-á bô·3? Lín1 ài2 chhī bô·3?,恁厝有貓仔無? 恁愛飼無?,Do you have a cat? Do you want one?
36,Góan chit chiah niau-á-kiáⁿ chin súi; góan sió-mōe chin ài.,Góan1 chit2 chiah2 niau7-á-kiáⁿ chin7 súi; góan1 sió1-mōe chin7 ài.,阮這隻貓仔囝真媠; 阮小妹真愛.,This kitten of ours is beautiful; my younger sister loves it.
38,Oat chiàⁿ-pêng.,Oat2 chiàⁿ2-pêng.,斡正爿.,Turn right (at the corner).
38,"Tit-tit kiâⁿ, m̄-bián oat.","Tit3-tit3 kiâⁿ, m̄3-bián1 oat.","直直行, 毋免斡.",Go straight ahead; no need to turn.
39,"Che chin oh chò, góa bē-hiáu.","Che chin7 oh2 chò, góa1 bē3-hiáu.","這真僫做, 我袂曉.",This is hard to do; I don't know how.
39,I chò khang-khòe chin oh.,I7 chò2 khang7-khòe chin7 oh.,伊做工課真僫.,He works very slowly.
40,"Chit tiâu lō· ê hit pêng khah jo̍ah; kiâⁿ chit pêng khah liâng.","Chit2 tiâu7 lō· ê7 hit2 pêng khah2 jo̍ah; kiâⁿ7 chit2 pêng khah2 liâng.","這條路的彼爿較熱; 行這爿較涼.",That side of this road is hotter; it's cooler to walk on this side.
